Time,RPM,Setpoint
3248148,1200.00,1800.00
3250272,1200.00,1800.00
3252396,1500.00,1800.00
3254524,1200.00,1800.00
3256648,1200.00,1800.00
3258772,1200.00,1800.00
3260896,1200.00,1800.00
3263024,1200.00,1800.00
3265152,1200.00,1800.00
3267272,1200.00,1800.00
3269396,1200.00,1800.00
3271524,900.00,1800.00
3273564,900.00,1800.00
3275604,1200.00,1800.00
3277728,900.00,1800.00
3279768,900.00,1800.00
3281808,900.00,1800.00
3283876,900.00,1800.00
3285896,900.00,1800.00
3287928,900.00,1800.00
3289968,900.00,1800.00
3292008,900.00,1800.00
3294048,900.00,1800.00
3296088,900.00,1800.00
3298128,600.00,1800.00
3300168,900.00,1800.00
3302208,600.00,1800.00
3304248,600.00,1800.00
3306360,600.00,1800.00
3308372,600.00,1800.00
3310412,600.00,1800.00
3312452,600.00,1800.00
3314492,600.00,1800.00
3316532,900.00,1800.00
3318572,600.00,1800.00
3320612,900.00,1800.00
3322652,900.00,1800.00
3324692,900.00,1800.00
3326732,900.00,1800.00
3328772,900.00,1800.00
3330812,900.00,1800.00
3332852,900.00,1800.00
3334892,1200.00,1800.00
3337020,900.00,1800.00
3339064,1200.00,1800.00
3341184,1200.00,1800.00
3343308,1200.00,1800.00
3345432,900.00,1800.00
3347476,1200.00,1800.00
3349600,1200.00,1800.00
3351724,1200.00,1800.00
3353876,900.00,1800.00
3355888,1200.00,1800.00
3358012,1200.00,1800.00
3360140,1200.00,1800.00
3362264,1200.00,1800.00
3364388,1200.00,1800.00
3366512,1200.00,1800.00
3368640,1200.00,1800.00
3370764,1200.00,1800.00
3372888,1200.00,1800.00
3375012,1200.00,1800.00
3377140,1200.00,1800.00
3379264,1500.00,1800.00
3381392,1200.00,1800.00
3383512,1200.00,1800.00
3385640,1200.00,1800.00
3387764,1200.00,1800.00
3389888,1200.00,1800.00
3392020,1200.00,1800.00
3394140,1500.00,1800.00
